pattern_id,query_skeleton,query,current_url,clicks,impressions,position,slot_values,pattern_accepted_before_volume,pattern_reject_reason
pattern_001,alternative {slot_1},alternative zu jura reinigungstabletten,https://example.com/jura-reinigungstabletten-alternative/,18.0,480.0,8.9,zu jura reinigungstabletten,True,
pattern_001,alternative {slot_1},alternative zu delonghi reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/,14.0,390.0,9.4,zu delonghi reinigungstabletten,True,
pattern_001,alternative {slot_1},alternative zu siemens reinigungstabletten,https://example.com/siemens-reinigungstabletten-alternative/,9.0,280.0,12.5,zu siemens reinigungstabletten,True,
pattern_001,alternative {slot_1},alternative zu philips reinigungstabletten,https://example.com/philips-reinigungstabletten-alternative/,12.0,330.0,10.2,zu philips reinigungstabletten,True,
pattern_002,cappuccino {slot_1},cappuccino rezept,https://example.com/cappuccino-rezept/,140.0,2700.0,2.9,rezept,False,Too few matching GSC queries (1 < 3).
pattern_003,delonghi {slot_1},delonghi magnifica entkalken,https://example.com/delonghi-magnifica-entkalken/,95.0,2100.0,4.2,magnifica entkalken,False,Too few matching GSC queries (2 < 3).
pattern_003,delonghi {slot_1},delonghi magnifica reinigen,https://example.com/delonghi-magnifica-reinigen/,58.0,1100.0,6.2,magnifica reinigen,False,Too few matching GSC queries (2 < 3).
pattern_004,espresso {slot_1},espresso tonic rezept,https://example.com/espresso-tonic-rezept/,35.0,800.0,7.3,tonic rezept,False,Too few matching GSC queries (1 < 3).
pattern_005,espresso {slot_1} rezept,espresso tonic rezept,https://example.com/espresso-tonic-rezept/,35.0,800.0,7.3,tonic,False,Too few matching GSC queries (1 < 3).
pattern_006,jura {slot_1},jura e8 entkalken,https://example.com/jura-e8-entkalken/,120.0,2400.0,3.1,e8 entkalken,False,Too few matching GSC queries (2 < 3).
pattern_006,jura {slot_1},jura e8 reinigen,https://example.com/jura-e8-reinigen/,66.0,1300.0,4.7,e8 reinigen,False,Too few matching GSC queries (2 < 3).
pattern_007,jura {slot_1} entkalken,jura e8 entkalken,https://example.com/jura-e8-entkalken/,120.0,2400.0,3.1,e8,False,Too few matching GSC queries (1 < 3).
pattern_008,jura {slot_1} reinigen,jura e8 reinigen,https://example.com/jura-e8-reinigen/,66.0,1300.0,4.7,e8,False,Too few matching GSC queries (1 < 3).
pattern_009,kaffee {slot_1},kaffee bitter ursache,https://example.com/kaffee-bitter-ursache/,15.0,350.0,13.2,bitter,False,Too few matching GSC queries (1 < 3).
pattern_010,kaffeevollautomat mit {slot_1},kaffeevollautomat mit milchsystem,https://example.com/kaffeevollautomat-milchsystem/,80.0,3000.0,6.9,milchsystem,False,Too few matching GSC queries (1 < 3).
pattern_011,kaffeevollautomat {slot_1},kaffeevollautomat test,https://example.com/kaffeevollautomat-test/,300.0,8000.0,1.9,test,False,Too few matching GSC queries (2 < 3).
pattern_011,kaffeevollautomat {slot_1},kaffeevollautomat mit milchsystem,https://example.com/kaffeevollautomat-milchsystem/,80.0,3000.0,6.9,mit milchsystem,False,Too few matching GSC queries (2 < 3).
pattern_012,latte macchiato {slot_1},latte macchiato glas groesse,https://example.com/latte-macchiato-glas/,28.0,700.0,9.7,glas,False,Too few matching GSC queries (1 < 3).
pattern_013,latte {slot_1},latte macchiato glas groesse,https://example.com/latte-macchiato-glas/,28.0,700.0,9.7,macchiato glas groesse,False,Too few matching GSC queries (1 < 3).
pattern_014,philips {slot_1},philips 5400 entkalken,https://example.com/philips-5400-entkalken/,42.0,880.0,8.1,5400 entkalken,False,Too few matching GSC queries (2 < 3).
pattern_014,philips {slot_1},philips 5400 reinigen,https://example.com/philips-5400-reinigen/,30.0,720.0,8.6,5400 reinigen,False,Too few matching GSC queries (2 < 3).
pattern_015,saeco {slot_1},saeco xelsis entkalken,https://example.com/saeco-xelsis-entkalken/,38.0,900.0,7.4,xelsis entkalken,False,Too few matching GSC queries (2 < 3).
pattern_015,saeco {slot_1},saeco xelsis reinigen,https://example.com/saeco-xelsis-reinigen/,27.0,640.0,9.1,xelsis reinigen,False,Too few matching GSC queries (2 < 3).
pattern_016,siemens {slot_1},siemens eq6 entkalken,https://example.com/siemens-eq6-entkalken/,55.0,1200.0,5.9,eq6 entkalken,False,Too few matching GSC queries (2 < 3).
pattern_016,siemens {slot_1},siemens eq6 reinigen,https://example.com/siemens-eq6-reinigen/,20.0,520.0,11.8,eq6 reinigen,False,Too few matching GSC queries (2 < 3).
pattern_017,{slot_1} 5400 {slot_2},philips 5400 entkalken,https://example.com/philips-5400-entkalken/,42.0,880.0,8.1,philips | entkalken,False,Too few matching GSC queries (2 < 3).
pattern_017,{slot_1} 5400 {slot_2},philips 5400 reinigen,https://example.com/philips-5400-reinigen/,30.0,720.0,8.6,philips | reinigen,False,Too few matching GSC queries (2 < 3).
pattern_018,{slot_1} cappuccino,beste bohnen für cappuccino,https://example.com/beste-bohnen-fuer-cappuccino/,110.0,2300.0,4.2,beste bohnen für,False,Too few matching GSC queries (1 < 3).
pattern_019,{slot_1} delonghi {slot_2},alternative zu delonghi reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/,14.0,390.0,9.4,alternative zu | reinigungstabletten,False,Too few matching GSC queries (1 < 3).
pattern_020,{slot_1} entkalken,jura e8 entkalken,https://example.com/jura-e8-entkalken/,120.0,2400.0,3.1,jura e8,True,
