pattern_id,query_skeleton,query_count,slot_diversity,distinct_url_count,top10_count,total_clicks,total_impressions,avg_position,confidence,is_programmatic_opportunity,reject_reason,sample_queries,sample_urls,template_label,intent,hub_label,hub_article_title,hub_slug,url_template,article_title_template,recommended_article_structure,internal_linking_strategy,risks
pattern_024,{slot_1} für {slot_2},5,8,5,5,611.0,12900.0,4.36,0.892,True,,beste kaffeebohnen für vollautomat; beste bohnen für cappuccino; beste kaffee für latte macchiato; beste kaffeebohnen für espresso; beste kaffee für siebträger,https://example.com/beste-bohnen-fuer-cappuccino/; https://example.com/beste-kaffee-fuer-latte-macchiato/; https://example.com/beste-kaffee-fuer-siebtraeger/; https://example.com/beste-kaffeebohnen-fuer-espresso/; https://example.com/beste-kaffeebohnen-fuer-vollautomat/,X für Y,commercial_comparison,Kaffeebohnen Hub,"Kaffeebohnen: Übersicht, Varianten & Empfehlungen",/kaffeebohnen/,/{slot_1}-fur-{slot_2}/,"{slot_1} für {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_040,{slot_1} rezept,5,5,5,5,391.0,7630.0,4.98,0.887,True,,flat white rezept; cold brew rezept; espresso tonic rezept; affogato rezept; cappuccino rezept,https://example.com/affogato-rezept/; https://example.com/cappuccino-rezept/; https://example.com/cold-brew-rezept/; https://example.com/espresso-tonic-rezept/; https://example.com/flat-white-rezept/,X rezept,recipe,Rezept Hub,"Rezept: Übersicht, Varianten & Empfehlungen",/rezept/,/{slot_1}-rezept/,"{slot_1} rezept: Zutaten, Mengen & Zubereitung",Zutaten für {slot_1} rezept → Das richtige Equipment → Zubereitung Schritt für Schritt → Varianten und Abwandlungen → Tipps und typische Fehler → Nährwerte → FAQ,"Der Artikel verlinkt zurück zum Rezept-Hub, auf 2–4 verwandte Rezepte (Exact-Match-Anker) und auf passende Equipment- oder Zutaten-Guides.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_020,{slot_1} entkalken,5,5,5,5,350.0,7480.0,5.74,0.882,True,,jura e8 entkalken; delonghi magnifica entkalken; saeco xelsis entkalken; philips 5400 entkalken; siemens eq6 entkalken,https://example.com/delonghi-magnifica-entkalken/; https://example.com/jura-e8-entkalken/; https://example.com/philips-5400-entkalken/; https://example.com/saeco-xelsis-entkalken/; https://example.com/siemens-eq6-entkalken/,X entkalken,how_to,Entkalken Hub,"Entkalken: Übersicht, Varianten & Empfehlungen",/entkalken/,/{slot_1}-entkalken/,{slot_1} entkalken: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} entkalken in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_038,{slot_1} reinigen,5,5,5,4,201.0,4280.0,8.08,0.813,True,,jura e8 reinigen; delonghi magnifica reinigen; saeco xelsis reinigen; philips 5400 reinigen; siemens eq6 reinigen,https://example.com/delonghi-magnifica-reinigen/; https://example.com/jura-e8-reinigen/; https://example.com/philips-5400-reinigen/; https://example.com/saeco-xelsis-reinigen/; https://example.com/siemens-eq6-reinigen/,X reinigen,how_to,Reinigen Hub,"Reinigen: Übersicht, Varianten & Empfehlungen",/reinigen/,/{slot_1}-reinigen/,{slot_1} reinigen: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} reinigen in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_001,alternative {slot_1},4,4,4,2,53.0,1480.0,10.25,0.691,True,,alternative zu jura reinigungstabletten; alternative zu delonghi reinigungstabletten; alternative zu siemens reinigungstabletten; alternative zu philips reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/; https://example.com/jura-reinigungstabletten-alternative/; https://example.com/philips-reinigungstabletten-alternative/; https://example.com/siemens-reinigungstabletten-alternative/,Alternative X,alternatives,Reinigungstabletten Hub,"Reinigungstabletten: Übersicht, Varianten & Empfehlungen",/reinigungstabletten/,/alternative-{slot_1}/,Alternative {slot_1}: Die besten Alternativen im Überblick,Kurzantwort: Die beste Alternative → Alternativen im Vergleich → Die Alternativen im Detail → Kompatibilität und Eignung → Preisvergleich → Vor- und Nachteile → FAQ,"Der Artikel verlinkt zurück zum Hub, auf verwandte Alternativen-Artikel mit gleichem {slot_1} und auf die Pflege-/How-to-Artikel der betroffenen Produkte.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_039,{slot_1} reinigungstabletten,4,4,4,2,53.0,1480.0,10.25,0.691,True,,alternative zu jura reinigungstabletten; alternative zu delonghi reinigungstabletten; alternative zu siemens reinigungstabletten; alternative zu philips reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/; https://example.com/jura-reinigungstabletten-alternative/; https://example.com/philips-reinigungstabletten-alternative/; https://example.com/siemens-reinigungstabletten-alternative/,X reinigungstabletten,alternatives,Reinigungstabletten Hub,"Reinigungstabletten: Übersicht, Varianten & Empfehlungen",/reinigungstabletten/,/{slot_1}-reinigungstabletten/,{slot_1} reinigungstabletten: Die besten Alternativen im Überblick,Kurzantwort: Die beste Alternative → Alternativen im Vergleich → Die Alternativen im Detail → Kompatibilität und Eignung → Preisvergleich → Vor- und Nachteile → FAQ,"Der Artikel verlinkt zurück zum Hub, auf verwandte Alternativen-Artikel mit gleichem {slot_1} und auf die Pflege-/How-to-Artikel der betroffenen Produkte.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_043,{slot_1} zu {slot_2},4,5,4,2,53.0,1480.0,10.25,0.691,True,,alternative zu jura reinigungstabletten; alternative zu delonghi reinigungstabletten; alternative zu siemens reinigungstabletten; alternative zu philips reinigungstabletten,https://example.com/delonghi-reinigungstabletten-alternative/; https://example.com/jura-reinigungstabletten-alternative/; https://example.com/philips-reinigungstabletten-alternative/; https://example.com/siemens-reinigungstabletten-alternative/,X zu Y,alternatives,Reinigungstabletten Hub,"Reinigungstabletten: Übersicht, Varianten & Empfehlungen",/reinigungstabletten/,/{slot_1}-zu-{slot_2}/,{slot_1} zu {slot_2}: Die besten Alternativen im Überblick,Kurzantwort: Die beste Alternative → Alternativen im Vergleich → Die Alternativen im Detail → Kompatibilität und Eignung → Preisvergleich → Vor- und Nachteile → FAQ,"Der Artikel verlinkt zurück zum Hub, auf verwandte Alternativen-Artikel mit gleichem {slot_1} und auf die Pflege-/How-to-Artikel der betroffenen Produkte.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_031,{slot_1} kaffeebohnen {slot_2},2,3,2,2,335.0,6800.0,3.05,0.833,False,Too few matching GSC queries (2 < 3).,beste kaffeebohnen für vollautomat; beste kaffeebohnen für espresso,https://example.com/beste-kaffeebohnen-fuer-espresso/; https://example.com/beste-kaffeebohnen-fuer-vollautomat/,X kaffeebohnen Y,commercial_comparison,Kaffeebohnen Hub,"Kaffeebohnen: Übersicht, Varianten & Empfehlungen",/kaffeebohnen/,/{slot_1}-kaffeebohnen-{slot_2}/,"{slot_1} kaffeebohnen {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_035,{slot_1} magnifica {slot_2},2,3,2,2,153.0,3200.0,5.2,0.795,False,Too few matching GSC queries (2 < 3).,delonghi magnifica entkalken; delonghi magnifica reinigen,https://example.com/delonghi-magnifica-entkalken/; https://example.com/delonghi-magnifica-reinigen/,X magnifica Y,how_to,Magnifica Hub,"Magnifica: Übersicht, Varianten & Empfehlungen",/magnifica/,/{slot_1}-magnifica-{slot_2}/,{slot_1} magnifica {slot_2}: Schritt-für-Schritt-Anleitung,Kurzantwort: {slot_1} magnifica {slot_2} in 30 Sekunden → Warum das wichtig ist → Was du brauchst → Schritt-für-Schritt-Anleitung → Wie oft ist es nötig? → Häufige Fehler und Probleme → FAQ,"Der Artikel verlinkt zurück zum Hub, per Exact-Match-Anker auf 2–4 Geschwister-Artikel mit gleichem {slot_1} und auf passende Produkt- oder Ratgeberseiten.","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
pattern_028,{slot_1} kaffee {slot_2},2,3,2,2,166.0,3800.0,5.75,0.794,False,Too few matching GSC queries (2 < 3).,beste kaffee für latte macchiato; beste kaffee für siebträger,https://example.com/beste-kaffee-fuer-latte-macchiato/; https://example.com/beste-kaffee-fuer-siebtraeger/,X kaffee Y,commercial_comparison,Kaffee Hub,"Kaffee: Übersicht, Varianten & Empfehlungen",/kaffee/,/{slot_1}-kaffee-{slot_2}/,"{slot_1} kaffee {slot_2}: Test, Vergleich & Empfehlungen",Unsere Top-Empfehlung → Vergleichstabelle → Die besten Optionen im Detail → Kaufkriterien: Darauf kommt es an → Für wen eignet sich was? → FAQ,"Der Artikel verlinkt zurück zum Hub, auf die Einzeltests der vorgestellten Produkte und auf verwandte Vergleiche mit gleichem {slot_1} (Exact-Match-Anker).","Human/AI review required: thin content, cannibalization, duplicated intent, missing unique slot information."
