keyword,pattern_id,query_skeleton,gsc_impressions,gsc_clicks,gsc_position,current_url,reason
alternative zu jura reinigungstabletten,pattern_001,alternative {slot_1},480.0,18.0,8.9,https://example.com/jura-reinigungstabletten-alternative/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
alternative zu delonghi reinigungstabletten,pattern_001,alternative {slot_1},390.0,14.0,9.4,https://example.com/delonghi-reinigungstabletten-alternative/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
alternative zu siemens reinigungstabletten,pattern_001,alternative {slot_1},280.0,9.0,12.5,https://example.com/siemens-reinigungstabletten-alternative/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
alternative zu philips reinigungstabletten,pattern_001,alternative {slot_1},330.0,12.0,10.2,https://example.com/philips-reinigungstabletten-alternative/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
jura e8 entkalken,pattern_020,{slot_1} entkalken,2400.0,120.0,3.1,https://example.com/jura-e8-entkalken/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
delonghi magnifica entkalken,pattern_020,{slot_1} entkalken,2100.0,95.0,4.2,https://example.com/delonghi-magnifica-entkalken/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
saeco xelsis entkalken,pattern_020,{slot_1} entkalken,900.0,38.0,7.4,https://example.com/saeco-xelsis-entkalken/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
philips 5400 entkalken,pattern_020,{slot_1} entkalken,880.0,42.0,8.1,https://example.com/philips-5400-entkalken/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
siemens eq6 entkalken,pattern_020,{slot_1} entkalken,1200.0,55.0,5.9,https://example.com/siemens-eq6-entkalken/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
beste kaffeebohnen für vollautomat,pattern_024,{slot_1} für {slot_2},4200.0,210.0,2.4,https://example.com/beste-kaffeebohnen-fuer-vollautomat/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
beste bohnen für cappuccino,pattern_024,{slot_1} für {slot_2},2300.0,110.0,4.2,https://example.com/beste-bohnen-fuer-cappuccino/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
beste kaffee für latte macchiato,pattern_024,{slot_1} für {slot_2},2100.0,92.0,5.1,https://example.com/beste-kaffee-fuer-latte-macchiato/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
beste kaffeebohnen für espresso,pattern_024,{slot_1} für {slot_2},2600.0,125.0,3.7,https://example.com/beste-kaffeebohnen-fuer-espresso/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
beste kaffee für siebträger,pattern_024,{slot_1} für {slot_2},1700.0,74.0,6.4,https://example.com/beste-kaffee-fuer-siebtraeger/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
jura e8 reinigen,pattern_038,{slot_1} reinigen,1300.0,66.0,4.7,https://example.com/jura-e8-reinigen/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
delonghi magnifica reinigen,pattern_038,{slot_1} reinigen,1100.0,58.0,6.2,https://example.com/delonghi-magnifica-reinigen/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
saeco xelsis reinigen,pattern_038,{slot_1} reinigen,640.0,27.0,9.1,https://example.com/saeco-xelsis-reinigen/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
philips 5400 reinigen,pattern_038,{slot_1} reinigen,720.0,30.0,8.6,https://example.com/philips-5400-reinigen/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
siemens eq6 reinigen,pattern_038,{slot_1} reinigen,520.0,20.0,11.8,https://example.com/siemens-eq6-reinigen/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
flat white rezept,pattern_040,{slot_1} rezept,1600.0,90.0,3.8,https://example.com/flat-white-rezept/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
cold brew rezept,pattern_040,{slot_1} rezept,1550.0,82.0,4.1,https://example.com/cold-brew-rezept/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
espresso tonic rezept,pattern_040,{slot_1} rezept,800.0,35.0,7.3,https://example.com/espresso-tonic-rezept/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
affogato rezept,pattern_040,{slot_1} rezept,980.0,44.0,6.8,https://example.com/affogato-rezept/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
cappuccino rezept,pattern_040,{slot_1} rezept,2700.0,140.0,2.9,https://example.com/cappuccino-rezept/,Check search volume before recommending rollout. GSC shows ranking proof; volume validates demand.
