pattern_id,hub_label,current_url,query_variants,variant_count,total_clicks,total_impressions
pattern_001,Alternative Pattern Hub,https://example.com/jura-reinigungstabletten-alternative/,alternative zu jura reinigungstabletten,1,18.0,480.0
pattern_001,Alternative Pattern Hub,https://example.com/delonghi-reinigungstabletten-alternative/,alternative zu delonghi reinigungstabletten,1,14.0,390.0
pattern_001,Alternative Pattern Hub,https://example.com/philips-reinigungstabletten-alternative/,alternative zu philips reinigungstabletten,1,12.0,330.0
pattern_001,Alternative Pattern Hub,https://example.com/siemens-reinigungstabletten-alternative/,alternative zu siemens reinigungstabletten,1,9.0,280.0
pattern_020,Entkalken Hub,https://example.com/jura-e8-entkalken/,jura e8 entkalken,1,120.0,2400.0
pattern_020,Entkalken Hub,https://example.com/delonghi-magnifica-entkalken/,delonghi magnifica entkalken,1,95.0,2100.0
pattern_020,Entkalken Hub,https://example.com/siemens-eq6-entkalken/,siemens eq6 entkalken,1,55.0,1200.0
pattern_020,Entkalken Hub,https://example.com/philips-5400-entkalken/,philips 5400 entkalken,1,42.0,880.0
pattern_020,Entkalken Hub,https://example.com/saeco-xelsis-entkalken/,saeco xelsis entkalken,1,38.0,900.0
pattern_024,Für Pattern Hub,https://example.com/beste-kaffeebohnen-fuer-vollautomat/,beste kaffeebohnen für vollautomat,1,210.0,4200.0
pattern_024,Für Pattern Hub,https://example.com/beste-kaffeebohnen-fuer-espresso/,beste kaffeebohnen für espresso,1,125.0,2600.0
pattern_024,Für Pattern Hub,https://example.com/beste-bohnen-fuer-cappuccino/,beste bohnen für cappuccino,1,110.0,2300.0
pattern_024,Für Pattern Hub,https://example.com/beste-kaffee-fuer-latte-macchiato/,beste kaffee für latte macchiato,1,92.0,2100.0
pattern_024,Für Pattern Hub,https://example.com/beste-kaffee-fuer-siebtraeger/,beste kaffee für siebträger,1,74.0,1700.0
pattern_038,Reinigen Hub,https://example.com/jura-e8-reinigen/,jura e8 reinigen,1,66.0,1300.0
pattern_038,Reinigen Hub,https://example.com/delonghi-magnifica-reinigen/,delonghi magnifica reinigen,1,58.0,1100.0
pattern_038,Reinigen Hub,https://example.com/philips-5400-reinigen/,philips 5400 reinigen,1,30.0,720.0
pattern_038,Reinigen Hub,https://example.com/saeco-xelsis-reinigen/,saeco xelsis reinigen,1,27.0,640.0
pattern_038,Reinigen Hub,https://example.com/siemens-eq6-reinigen/,siemens eq6 reinigen,1,20.0,520.0
pattern_039,Reinigungstabletten Hub,https://example.com/jura-reinigungstabletten-alternative/,alternative zu jura reinigungstabletten,1,18.0,480.0
pattern_039,Reinigungstabletten Hub,https://example.com/delonghi-reinigungstabletten-alternative/,alternative zu delonghi reinigungstabletten,1,14.0,390.0
pattern_039,Reinigungstabletten Hub,https://example.com/philips-reinigungstabletten-alternative/,alternative zu philips reinigungstabletten,1,12.0,330.0
pattern_039,Reinigungstabletten Hub,https://example.com/siemens-reinigungstabletten-alternative/,alternative zu siemens reinigungstabletten,1,9.0,280.0
pattern_040,Rezept Hub,https://example.com/cappuccino-rezept/,cappuccino rezept,1,140.0,2700.0
pattern_040,Rezept Hub,https://example.com/flat-white-rezept/,flat white rezept,1,90.0,1600.0
pattern_040,Rezept Hub,https://example.com/cold-brew-rezept/,cold brew rezept,1,82.0,1550.0
pattern_040,Rezept Hub,https://example.com/affogato-rezept/,affogato rezept,1,44.0,980.0
pattern_040,Rezept Hub,https://example.com/espresso-tonic-rezept/,espresso tonic rezept,1,35.0,800.0
pattern_043,Zu Pattern Hub,https://example.com/jura-reinigungstabletten-alternative/,alternative zu jura reinigungstabletten,1,18.0,480.0
pattern_043,Zu Pattern Hub,https://example.com/delonghi-reinigungstabletten-alternative/,alternative zu delonghi reinigungstabletten,1,14.0,390.0
pattern_043,Zu Pattern Hub,https://example.com/philips-reinigungstabletten-alternative/,alternative zu philips reinigungstabletten,1,12.0,330.0
pattern_043,Zu Pattern Hub,https://example.com/siemens-reinigungstabletten-alternative/,alternative zu siemens reinigungstabletten,1,9.0,280.0
